;Index;name;min_salary;max_salary;company;published_at;description;conditions;requirement;responsibility;key_skills;id;days;city_Екатеринбург;city_Москва;city_Новосибирск;city_Санкт-Петербург;city_Тюмень;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;Python; PostgreSQL; Python; Django Framework; Git; MySQL; ООП;CSS; Linux; JavaScript;Другие навыки
0;99;Python developer;5.0;5.0;IVIDEON;2019-11-20T15:08:19+0300;"Ivideon — это самый популярный в мире облачный сервис видеонаблюдения через Интернет. Мы помогаем анализировать бизнес: понимать как часто возникают очереди, сколько людей заходит в магазин, а сколько проходит мимо, какой средний чек, что люди покупают. Глобально мы идем в сторону middleware платформы, которую легко развернуть и интегрировать в любую систему, которой нужен облачный видеостриминг. У нас собственные подсистемы кодирования видео, распределённое хранилище архива c петабайтами данных, видеоаналитика и ещё десятки микросервисов для разных задач. Всё это работает на стеке Python 3 (Tornado и Asyncio), C++/Asio, MongoDB, Docker, Consul. Сейчас мы ищем сильных разработчиков, которые:  Вместе с нами будут разрабатывать бекенд Ivideon; Проектировать архитектуру новых сервисов; Автотестить написанное - сейчас код покрыт 800 функциональными тестами; Разрабатывать API приложений и интеграции; Участвовать во внедрении DevOps - если вам это интересно, то мы такое как раз делаем)  Что мы ждём от кандидатов:   Опыт командной разработки на Python. Отлично, если работали с Tornado, Asyncio или aiohttp - у нас это всё есть;   Опыт разработки микросервисов;   Кратко про нас и что предлагаем:   Очень дружный, профессиональный коллектив, неформальная атмосфера и интересный международный проект.   Мы приветствуем свободу и гибкий график. Работа в офисе в Москве на ст. м.Менделеевская/Новослободская.   Удобная кухня в офисе с чаем/кофе и запасами печенья, тортиков, сладостей, фруктов и прочего.   Соц.пакет: ДМС после испытательного срока, корп.английский.   Настольный теннис для любителей активного отдыха и массажное кресло для всех остальных, часто играем в настольные игры и начали формировать команду для соревнований по пейнтболу.   Всячески поддерживаем инициативу. В том числе по развитию и профессиональному росту сотрудников, помогаем с покупкой необходимой профессиональной литературы и инструментов для разработки.   Высокий уровень дохода по результатам интервью. Оформление по ТК РФ с первого дня. Всё белое.   Оставьте свой отклик, мы свяжемся по удобному для вас каналу связи. Наш диалог пройдет в два этапа, мы познакомимся по скайпу, а потом пригласим к нам в офис.";;Опыт разработки микросервисов.;Проектировать архитектуру новых сервисов. Автотестить написанное - сейчас код покрыт 800 функциональными тестами. Разрабатывать API приложений и интеграции.;"Python; docker; SOA; tornado; C++; Asyncio; MongoDB; ASIO";21;0.0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1;28;Программист Python;2.0;3.0;Оранж Рокетс;2019-10-29T15:35:40+0300;В связи с увеличением задач нам нужны помощники в команду разработчиков.Обязанности:  Участие в разработке серверной части мобильного приложения.  Требования:  Знание языка Python и фреймворка Django Хорошее знание SQL и опыт работы с PostgreSQL Желательно:  Опыт работы с AWS      Условия:  Гибкий график Работа в просторном офисе в центре    Хочешь разрабатывать интересные и нужные приложения? Мы тебя ждем!;  Гибкий график Работа в просторном офисе в центре    Хочешь разрабатывать интересные и нужные приложения? Мы тебя ждем!;Знание языка Python и фреймворка Django. Хорошее знание SQL и опыт работы с PostgreSQL. Желательно: Опыт работы с AWS.;Участие в разработке серверной части мобильного приложения.;"Python; Django Framework; Git; PostgreSQL; ООП";83;0.8148148148148148;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
2;93;Программист Python;2.0;3.0;Тензор;2019-11-14T10:48:11+0300;"Систему СБИС придумали, создали и постоянно совершенствуют почти 1500 разработчиков в 11 центрах разработки. У нас есть фанаты дата-майнинга, эксперты в разработке кроссплатформенных приложений и высоконагруженных систем, разработчики мобильных, настольных и веб-приложений, специалисты по обработке, анализу и хранению больших массивов данных. Мы ищем программистов Python, способных реализовывать крупные проекты от идеи до “продакшена” крупные проекты по разработке системы мотивации персонала, функционирующей в составе высоконагруженного облачного сервиса. Присоединившись к нашей команде, у вас будет возможность усовершенствовать систему СБИС. Результатом вашей работы будут пользоваться более миллиона людей – на компьютерах, планшетах и смартфонах. Мы не работаем под заказ, мы создаем тиражные продукты. Используемый стек технологий: C++, Python, PostgreSQL, Javascript, NodeJS, Redis, ElasticSearch, Clickhouse. Вам не нужно знать буквально все наши технологии. Нужна светлая голова и страстное желание работать. Делать лучший продукт в России. Мы будем рады узнать о наличии у вас:  опыта разработки на указанных выше ЯП или любом диалекте SQL; способности чувствовать «красоту кода»; опыта командной разработки; профильного (ИТ/инженерного) образования; желания развиваться – как вместе с нами, так и самостоятельно.    Мы предлагаем:  заработная плата в зависимости от квалификации и уровня ответственности; оформление по ТК РФ; премии от 5 до 20% по итогам работы за месяц; социальные гарантии; ДМС после года работы в компании; спортивные программы; корпоративные праздники и различные совместные мероприятия.   ";"  заработная плата в зависимости от квалификации и уровня ответственности; оформление по ТК РФ; премии от 5 до 20% по итогам работы за месяц; социальные гарантии; ДМС после года работы в компании; спортивные программы; корпоративные праздники и различные совместные мероприятия.   ";Опыта разработки на указанных выше ЯП или любом диалекте SQL. Способности чувствовать «красоту кода». Опыта командной разработки. Профильного (ИТ/инженерного...;;"SQL; Python; PostgreSQL";92;0.2222222222222222;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
3;70;Python программист (middle);2.0;2.0;Строительный Двор;2019-11-19T09:24:57+0300;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Требования:  опыт работы от 2+ года в разработке Python, или других языках; практический опыт работы с операционными системами семейства *nix; опыт использования какой-либо реляционной СУБД (MySQL, Postgre SQL, SQL Server, Oracle); использование тестов в процессе разработки, покрытие своего кода тестами; работа в команде разработчиков.  Обязанности:  качественное и своевременное исполнение задач web-проекта и непосредственного руководителя; поддержка и доработка уже существующих сайтов; разработка концепции развития веб-сервера; оптимизация БД и запросов‚ сопровождение существующего кода.  Условия:  Официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";"  Официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";...СУБД (MySQL, Postgre SQL, SQL Server, Oracle). Использование тестов в процессе разработки, покрытие своего кода тестами. Работа в команде <highlighttext>разработчиков</highlighttext>.;Качественное и своевременное исполнение задач web-проекта и непосредственного руководителя. Поддержка и доработка уже существующих сайтов. Разработка концепции развития веб...;"Python; MySQL; SQL; ORACLE; СУБД";128;0.037037037037037035;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
4;31;Python разработчик (Django);2.0;2.0;Интернет Лид;2019-11-19T23:09:02+0300;"  Описание Компания-разработчик программного продукта для сферы образования «Интернет Лид» приглашает на работу активных людей для долгосрочного сотрудничества, материального и профессионального роста на позицию python full-stack разработчика в удаленную команду. О компании С 2011 года ООО “Интернет Лид” занимается разработкой и внедрением веб-сервисов для системы образования. Команда имеет опыт более 9 лет в проектировании систем и работе с образовательными организациями и пользователями образовательных услуг. О продукте Информационная система «Мапа.рус» - веб-сервис и мобильное приложение для дошкольных организаций: аналитические, коммуникационные и CRM-инструменты для садов и центров развития (сотрудников и родителей). Требования к кандидату:  Опыт работы с Python/Django от 1 года;    Будет плюсом:  Опыт работы с REST API; Знание Linux OS and Postgres DB; Опыт работа с Version Control Systems (Git); Хорошее знание HTML, CSS, JavaScript. Знакомство с PHP, MySQL, Wordpress. Опыт работы в команде; Хороший письменный и разговорный английский; Опыт в тестировании кода.    Наши условия работы:  Удаленная работа, частичная занятость с оговариваемым графиком или full-time ; Разносторонние интересные проекты; Развитие растущего многопользовательского сервиса.     ";;Опыт работы с Python/Django от 1 года. Будет плюсом: Опыт работы с REST API. Знание Linux OS and Postgres...;О продукте. Информационная система «Мапа.рус» - веб-сервис и мобильное приложение для дошкольных организаций: аналитические, коммуникационные и CRM-инструменты для садов...;"CSS; Git; Linux; PostgreSQL; JavaScript; MySQL; Django Framework; HTML; Python";132;0.0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
5;49;Python разработчик (Django);2.0;2.0;Интернет Лид;2019-11-19T23:09:02+0300;"  Описание Компания-разработчик программного продукта для сферы образования «Интернет Лид» приглашает на работу активных людей для долгосрочного сотрудничества, материального и профессионального роста на позицию python full-stack разработчика в удаленную команду. О компании С 2011 года ООО “Интернет Лид” занимается разработкой и внедрением веб-сервисов для системы образования. Команда имеет опыт более 9 лет в проектировании систем и работе с образовательными организациями и пользователями образовательных услуг. О продукте Информационная система «Мапа.рус» - веб-сервис и мобильное приложение для дошкольных организаций: аналитические, коммуникационные и CRM-инструменты для садов и центров развития (сотрудников и родителей). Требования к кандидату:  Опыт работы с Python/Django от 1 года;    Будет плюсом:  Опыт работы с REST API; Знание Linux OS and Postgres DB; Опыт работа с Version Control Systems (Git); Хорошее знание HTML, CSS, JavaScript. Знакомство с PHP, MySQL, Wordpress. Опыт работы в команде; Хороший письменный и разговорный английский; Опыт в тестировании кода.    Наши условия работы:  Удаленная работа, частичная занятость с оговариваемым графиком или full-time ; Разносторонние интересные проекты; Развитие растущего многопользовательского сервиса.     ";;Опыт работы с Python/Django от 1 года. Будет плюсом: Опыт работы с REST API. Знание Linux OS and Postgres...;О продукте. Информационная система «Мапа.рус» - веб-сервис и мобильное приложение для дошкольных организаций: аналитические, коммуникационные и CRM-инструменты для садов...;"CSS; Git; Linux; PostgreSQL; JavaScript; MySQL; Django Framework; HTML; Python";134;0.0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
6;54;Python разработчик (Middle);2.0;2.0;Строительный Двор;2019-11-19T09:24:57+0300;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Требования:  опыт коммерческой разработки на языке Python от 2-х лет; практический опыт работы с операционными системами семейства *nix; опыт работы с реляционными СУБД (в приоритете PostgreSQL), умение писать сложные запросы и оптимизировать их, понимание что такое материализованные представления и с чем их едят; опыт проектирования высоконагруженных сервисов, понимание принципов их построения; уверенное знание парадигмы ООП и паттернов проектирования; опыт работы с Celery, Redis, Rabbit и умение их настроить; опыт работы с Django / Flask / aiohttp; умение применять асинхронные / многопоточные подходы в разработке; умение правильно настроить кэш; опыт в сфере DevOps (мы используем Kubernetes, GitLab CI).  Обязанности:  качественное и своевременное исполнение задач web-проекта; поддержка и доработка уже существующих сайтов; оптимизация БД и запросов‚ сопровождение существующего кода.  Бонусы:  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";;Опыт коммерческой разработки на языке Python от 2-х лет. Практический опыт работы с операционными системами семейства *nix. ;Качественное и своевременное исполнение задач web-проекта. Поддержка и доработка уже существующих сайтов. Оптимизация БД и запросов‚ сопровождение существующего кода.;"PostgreSQL; Python; Django; Flask; DevOps; Kubernetes; GitLab CI; Celery; Redis; RabbitMQ; ООП";151;0.037037037037037035;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
7;1;Стажер-программист Python;0.0;1.0;Quest Software;2019-11-20T15:02:51+0300;If you are eager to work with new technologies to design and develop software solutions used for local, networked and internet-related programs, Quest is the place to be. Currently we are looking for Intern Dev Engineer to join us in St. Petersburg to work together with our talented team on the Recovery Manager for Azure AD. Key responsibilities:  Develop features for SaaS product, cover by acceptance tests and automate deployment Work in the team that uses the Agile methodology Optimize development, maintenance cost and minimize product COGs Work with customer, understand business problem and implement the solution  Essential requirements:  Programming experience on Python Experience with Linux (Ubuntu, Alpine, CentOS …) Reading technical literature in English  Would be a plus:  Enterprise SaaS application development Experience with Amazon and Azure Cloud services (computational, storage, database, networking) Programming experience with Microsoft Graph API, Azure AD Graph API Docker and Kubernetes experience Web application development experience Micro-services development experience  Benefits:  Fixed-term contract with the possibility of further employment with permanent contract Stable white salary Flexible schedule Experienced mentors Free Tea, coffee, snacks in comfortable office ;;Programming experience on Python. Experience with Linux (Ubuntu, Alpine, CentOS …). Reading technical literature in English.;Work in the team that uses the Agile methodology. Optimize <highlighttext>development</highlighttext>, maintenance cost and minimize product COGs. Work with customer...;Python;204;0.0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;44;Программист Python (ГИС);4.0;5.0;РеИнформ Инт.;2019-11-20T11:35:54+0300;"Обязанности:- Разработка инструментов для для обработки и анализа пространственных данных;- Разработка модулей для QGIS. Требования:- Высшее техническое образование;- Опыт разработки на Python 2.7, 3.7 от 1 года;- Опыт работы с реляционными БД (PostgreSQL);- Владение английским языком на уровне чтения технической документации. Желательно (было бы +):- Опыт работы с настольными ГИС;- Опыт разработки ГИС-приложений;- Опыт использования библиотек Qt/PyQt- Опыт работы в командах гибкой разработки ПО. Условия Мы ценим в людях:  Хорошие коммуникативные навыки, умение работать в команде; Системное мышление, аккуратность, ответственность; Позитивный настрой.  Мы предлагаем:  Работу в стабильной IT-Компании; Участие в уникальных проектах для крупных российских заказчиков, в том числе государственных; Свободу в выборе решений; Профессиональную команду, которая всегда поддержит и поделится опытом; Дружный коллектив; Стабильную заработную плату и уверенность в завтрашнем дне; Трудоустройство согласно ТК (оплата больничных листов и отпуска).  Мы приглашаем в нашу команду талантливых, амбициозных, нацеленных на максимальную самореализацию людей, готовых расти и развиваться вместе с нами.  ";"  Работу в стабильной IT-Компании; Участие в уникальных проектах для крупных российских заказчиков, в том числе государственных; Свободу в выборе решений; Профессиональную команду, которая всегда поддержит и поделится опытом; Дружный коллектив; Стабильную заработную плату и уверенность в завтрашнем дне; Трудоустройство согласно ТК (оплата больничных листов и отпуска).  Мы приглашаем в нашу команду талантливых, амбициозных, нацеленных на максимальную самореализацию людей, готовых расти и развиваться вместе с нами.  ";Высшее техническое образование. - Опыт разработки на Python 2.7, 3.7 от 1 года. - Опыт работы с реляционными БД (PostgreSQL). - ;Разработка инструментов для для обработки и анализа пространственных данных. - Разработка модулей для QGIS.;"Python; PostgreSQL; Python; Django Framework; Git";338;0.0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
9;45;Junior Python-разработчик;2.0;2.0;NAUMEN;2019-11-20T10:12:48+0300;"Naumen – один из IT-лидеров в России*. С 2001 года мы разрабатываем и внедряем интеллектуальные системы и сервисы, которые приносят пользу бизнесу и государству в реальной жизни, а не «на бумаге». Нашими ИТ-продуктами пользуются крупнейшие компании России, входящие в топ-500, из разных отраслей: энергетика, финансовый сектор, телекоммуникации, промышленность, ритейл и госструктуры. Мы амбициозны и не останавливаемся на достигнутом: ежегодно оборот Naumen растет на 30%, количество сотрудников увеличивается на 17%, открываются новые офисы компании. * ТОП-10 крупнейших разработчиков ПО по числу инсталляций в РФ (по версии TAdviser), разработчик №1 в России в сегменте аутсорсинговых контакт-центров (по версии iKS-Consulting) и входим в ТОП-10 IT-работодателей России (по версии HeadHunter). Мы ищем Junior Python-разработчика в команду разработки продукта Naumen Contact Center. Naumen Contact Center (ранее Naumen Phone) – полнофункциональное программное решение для построения крупных и средних контактных центров. В состав решения входит коммуникационная платформа с компонентом Omni-Channel, информационная система управления проектами и прогнозирования рабочей нагрузки (WFM), а также автоматизированные рабочие места оператора и супервизора. Нашими клиентами являются: ИнтерРАО ЕС, Спортмастер, Банк Россия, Мосэнергосбыт, Moldtelecom. Платформа Naumen Contact Center включена в глобальный отчет Gartner. Обязанности:  поддержка backend компонент Naumen Сontact Сenter; разработка новых функциональных возможностей; разработка новых компонентов.  Требования:  опыт разработки на Python; знание классических алгоритмов и структур данных; умение разбираться в чужом коде.  Будет большим плюсом, если у вас есть:  опыт работы с SQLAlchemy; опыт работы с Twisted; опыт администрирования *nix; опыт работы с Git; опыт работы с реляционными базами данных опыт разработки и оптимизации асинхронных многопоточных программ; опыт разработки сетевых приложений; опыт разработки на C++.  В Naumen есть все условия для профессионального развития молодых специалистов:  у тебя будет опытный наставник. Он поможет адаптироваться в команде и к рабочему процессу; сможешь вырасти от стажера или junior’а до профи за 1 год; будешь развиваться в атмосфере поддержки и дружелюбия, а не жесткой конкуренции; сможешь работать в команде над реальным продуктом; будешь участвовать во внешних и внутренних конференциях, в митапах, и проходить профессиональное обучение; ты сможешь пользоваться bookcrossing, мы приобретаем необходимую профессиональную литературу; сможешь выбрать удобный для себя график работы, чтобы совмещать с учебой. И все с минимумом бюрократии; посетишь яркие корпоративы, мы поздравим с календарными и профессиональными праздниками; поддержим твою любовь к спорту: есть своя волейбольная команда, команды по кикеру, велопрогулки, участвуем в Спартакиаде айтишников; оценишь современный и комфортный офис (Татищева). В офисе оборудованы комната активного отдыха (настольный теннис, настольный футбол, тренажеры, массажное кресло), душевая кабина. Есть корпоративное кафе, кофе-поинты с разнообразными перекусами. Сможешь пользоваться велопарковкой в подземном паркинге. ";;Опыт разработки на Python. Знание классических алгоритмов и структур данных. Умение разбираться в чужом коде. Опыт работы с SQLAlchemy. ;Поддержка backend компонент Naumen Сontact Сenter. Разработка новых функциональных возможностей. Разработка новых компонентов.;"Python; PostgreSQL; Python; Django Framework; Git";442;0.0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
