;Index;name;min_salary;max_salary;company;published_at;description;requirement;responsibility;key_skills;conditions;id;days;group;city_Екатеринбург;city_Новосибирск;city_Санкт-Петербург;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость;Delphi; MS SQL;SQL; Delphi; MS SQL Server; Transact-SQL; ORACLE; Diasoft;Разработка нового функционала корпоративной информационной системы. Поддержка работоспособности информационных систем. Участие в новых интересных ИТ-проектах. Решение задач в рамках...;Разработка и развитие клиент-серверного приложения для нужд Банка. Развитие технологий обмена информацией с внешними сервисами.;Разработка, сопровождение и реинжиниринг программного обеспечения Компании. Разработка API к продуктам Компании.;Разработка, сопровождение и реинжиниринг программного обеспечения Компании.;Разработка программного обеспечения в соответствии с планом проекта (анализ задачи, поиск и выбор оптимального решения поставленной задачи, проработка ТЗ, программирование...; VBA; SQL; SVN; Borland Delphi; Embarcadero Delphi;Другие навыки
0;59;Программист-разработчик Delphi;3.0;3.0;РосДеньги;2019-12-12T13:43:31+0300;"Обязанности:  Участие в разработке и развитии корпоративной информационной системы (Delphi XE8), автоматизация бизнес процессов; Создание и оптимизация SQL запросов; Поддержка разработанных программных продуктов‚ используемых на предприятии (Delphi XE8 + MSSQL 2012); Разработка новых модулей для расширения действующего функционала Доработка и развитии корпоративной информационной системы (Delphi XE), автоматизация бизнес процессов;  Требования:  Высшее техническое образование; Хорошее знание T-SQL; Уверенное знание технологий ООП, COM; Опыт разработки ПО от 3 (трех) лет; Отличное знание MS SQL, Delphi; Способность работать как автономно, так и в команде; Умение понимать задачу «на лету»; Опыт проектирования структуры баз данных Опыт создания отчетности с компонентами FastReports  Условия:  Оплата труда обсуждается с успешным кандидатом. офис в шаговой доступности от станции метро Чкаловская; оборудованное рабочее место для реализации и выполнения обязанностей; дружный и амбициозный коллектив с чувством юмора; стабильная заработная плата.   ";Высшее техническое образование. Хорошее знание T-SQL. Уверенное знание технологий ООП, COM. Опыт разработки ПО от 3 (трех) лет. ;Участие в разработке и развитии корпоративной информационной системы (Delphi XE8), автоматизация бизнес процессов. Создание и оптимизация SQL запросов. ;"Delphi; MS SQL";"  Оплата труда обсуждается с успешным кандидатом. офис в шаговой доступности от станции метро Чкаловская; оборудованное рабочее место для реализации и выполнения обязанностей; дружный и амбициозный коллектив с чувством юмора; стабильная заработная плата.   ";59;0.0;Delphi;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1;76;Программист Delphi;2.0;4.0;БиАйВи;2019-12-11T16:09:39+0300;"Обязанности:  Разработка и сопровождение корпоративного программного обеспечения для страховых компаний и негосударственных пенсионных фондов. Основные клиенты: НПФ Сбербанк, СК Согласие, СК Согласие-вита, СК Альянс (бывшая РОСНО), СК CIV-LIFE, СК ВСК; Задачи разного уровня сложности, преимущественно связанные со страховым, налоговым и бухгалтерским учетом, внутренним документооборотом компаний, поддержкой внутренних бизнес-процессов, интеграции разнородных систем; Разработка Back решений;  Требования:  Знание SQL (ORACLE, MS SQL Server); Опыт работы на любом языке разработки высокого уровня (Delphi, С++, .Net, Java); Желателен опыт разработки корпоративного программного обеспечения; Умение работать с чужим кодом, грамотно его комментировать; Высокая стрессоустойчивость и способность к высоким нагрузкам;  Приветствуется:  Опыт работы с системами контроля версий (VSS, Mercurial и т.п.) Опыт работы с баг-трекерами (Redmine, Jira и т.п.) Знания в области интеграции различных систем, электронного обмена данными между приложениями Опыт работы с программами по ведению бухгалтерской и финансовой отчетности  Для нас важны такие качества как:  Умение планировать время и оценивать свои силы на поставленные задачи; Умение работать в команде ( в том числе удаленно); Ответственность; Нацеленность на результат; Желание постоянно расти и развиваться, используя современные технологии.  Условия:  Комфортный офис в центре города, оборудованный кухней; Возможность профессионального роста; Дружный и профессиональный коллектив; Оформление по ТК РФ; Полностью белая заработная плата. ";Знание SQL (ORACLE, MS SQL Server). Опыт работы на любом языке разработки высокого уровня (Delphi, С++, .Net, Java). ;"Разработка и сопровождение корпоративного программного обеспечения для страховых компаний и негосударственных пенсионных фондов. Основные клиенты: НПФ &quot;Сбербанк&quot;, СК &quot;Согласие&quot;, СК...";"Delphi; ORACLE; MS SQL; Diasoft";"  Комфортный офис в центре города, оборудованный кухней; Возможность профессионального роста; Дружный и профессиональный коллектив; Оформление по ТК РФ; Полностью белая заработная плата. ";76;0.034482758620689655;Delphi;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
2;1;Ведущий программист Delphi;3.0;3.0;Евросиб;2019-12-10T13:31:47+0300;"Обязанности:  Разработка нового функционала корпоративной информационной системы Поддержка работоспособности информационных систем Участие в новых интересных ИТ-проектах Решение задач в рамках сопровождения существующих систем Взаимодействие с системными аналитиками в процессе реализации задач  Требования:  Обязательно знание:  опыт разработки на Delphi, T-SQL; уверенное знание Microsoft SQL Server; опыт в проектировании БД, создании хранимых процедур, оптимизации запросов; умение разбираться в чужом коде; знание FastReport, DevExpress;   Желательно знание:  опыт работы с SSRS, SSAS; знание платформы . NET английский на уровне чтения технической документации.   Деловые и личные качества:  аналитические способности; обучаемость; стремление к освоению новых технологий; умение работать в команде.    Условия:  График работы - пятидневка; Оформление на работу в соответствии с ТК РФ, белая заработная плата; Комфортный офис в центре города (10 мин. пешком от ст.м.Горьковская); ДМС после испытательного срока; Возможна работа удаленно (для соискателей в европейской части России).       ";"  График работы - пятидневка; Оформление на работу в соответствии с ТК РФ, белая заработная плата; Комфортный офис в центре города (10 мин. пешком от ст.м.Горьковская); ДМС после испытательного срока; Возможна работа удаленно (для соискателей в европейской части России).       ";Обязательно знание: Опыт разработки на Delphi, T-SQL. Уверенное знание Microsoft SQL Server. Опыт в проектировании БД, создании хранимых процедур...;Разработка нового функционала корпоративной информационной системы. Поддержка работоспособности информационных систем. Участие в новых интересных ИТ-проектах. Решение задач в рамках...;"Delphi; T-SQL; MS SQL Server";201;0.06896551724137931;Delphi;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3;55;Программист Delphi\MSSQL;3.0;3.0;Заубер Банк;2019-12-09T19:10:41+0300;"Обязанности:  разработка и развитие клиент-серверного приложения для нужд Банка; развитие технологий обмена информацией с внешними сервисами.    Требования:  опыт программирования Delphi; уверенное знание Microsoft SQL Server; умение разбирать в чужом коде; навыки тестирования собственного кода; навыки документирования; высшее техническое образование.    Условия:  оформление по трудовому договору; испытательный срок 3 месяца; график работы: понедельник - пятница с 9:00 до 18:00.   ";"  оформление по трудовому договору; испытательный срок 3 месяца; график работы: понедельник - пятница с 9:00 до 18:00.   ";Опыт программирования Delphi. Уверенное знание Microsoft SQL Server. Умение разбирать в чужом коде. Навыки тестирования собственного кода. Навыки документирования. ;Разработка и развитие клиент-серверного приложения для нужд Банка. Развитие технологий обмена информацией с внешними сервисами.;;255;0.06896551724137931;Delphi;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
4;47;Ведущий программист (Delphi);3.0;3.0;Компания Инфоcтрой;2019-11-28T09:26:01+0300;Обязанности:  Разработка, сопровождение и реинжиниринг программного обеспечения Компании. Разработка API к продуктам Компании.  Требования:  Опыт работы в команде Минимальные навыки:  понимание и практическое владение методологией объектно-ориентированного программирования, DDD. опыт разработки приложений баз данных уверенное знание Delphi и MS SQL Server знание и опыт использования СОМ-технологии умение разбираться в чужом коде.   Приветствуется:  опыт использования DevExpress, знакомство с InstallShield, FastReport опыт разработки API опыт разработки многопоточных приложений. опыт использования nUnit. знание С# и .Net.    Мы предлагаем:  Дружный молодой коллектив. Интересные и сложные задачи. Отсутствие бюрократии. Оформление по ТК РФ Зарплата: оклад + бонус по итогам работы компании за квартал Испытательный срок 3 мес. ;  Дружный молодой коллектив. Интересные и сложные задачи. Отсутствие бюрократии. Оформление по ТК РФ Зарплата: оклад + бонус по итогам работы компании за квартал Испытательный срок 3 мес. ;Опыт работы в команде. Минимальные навыки: Понимание и практическое владение методологией объектно-ориентированного программирования, DDD. Опыт разработки приложений баз данных. ;Разработка, сопровождение и реинжиниринг программного обеспечения Компании. Разработка API к продуктам Компании.;;347;0.4827586206896552;Delphi;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
5;84;Программист Delphi;2.0;3.0;Компания Инфоcтрой;2019-11-28T09:27:08+0300;Обязанности:  Разработка, сопровождение и реинжиниринг программного обеспечения Компании.  Требования:  Минимальные навыки:  понимание и практическое владение методологией объектно-ориентированного программирования. опыт разработки приложений баз данных знание Delphi или С# знание MS SQL Server умение разбираться в чужом коде     Приветствуется:  опыт работы в команде знание и опыт использования СОМ-технологии опыт использования DevExpress, знакомство с InstallShield, FastReport опыт разработки многопоточных приложений опыт использования nUnit знание .Net    Мы предлагаем:  Дружный молодой коллектив. Интересные и сложные задачи. Отсутствие бюрократии. Оформление по ТК РФ Зарплата: оклад + бонус по итогам работы компании за квартал Испытательный срок 3 мес. ;  Дружный молодой коллектив. Интересные и сложные задачи. Отсутствие бюрократии. Оформление по ТК РФ Зарплата: оклад + бонус по итогам работы компании за квартал Испытательный срок 3 мес. ;Минимальные навыки: Понимание и практическое владение методологией объектно-ориентированного программирования. Опыт разработки приложений баз данных. Знание Delphi или С#. ;Разработка, сопровождение и реинжиниринг программного обеспечения Компании.;;384;0.4827586206896552;Delphi;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
6;23;Инженер программист Дельфи\Delphi;2.0;3.0;АУРИТ;2019-12-12T06:32:51+0300;"Это мы имеем 19-летний опыт разработки систем автоматизации бизнес-процессов любой сложности. Главная цель компании — обеспечить своих клиентов понятными и эффективными инструментами. Сегодня мы продолжаем расти и развиваться и понимаем, что только с сильной командой мы сможем быстрее достичь успеха и шагнуть на новый этап развития. Мы ищем в свой коллектив людей, которые могут, как и мы, сложные задачи решить с ходу, а невозможные - чуть позже. Нам не нужны Ваши пустые обещания и горящие глаза, нужно прийти и сделать! Важна Ваша хватка, толковая голова, желание и умение доводить начатое до конца. Требования:   опыт разработки на Delphi не менее 3 лет;   аккуратный код, комментарии, документация, технические задания;   хорошие знания любой из СУБД MS Sql, Firebird, PostgreSQL;   клиент-серверные приложения (SQL, SOAP, web-сервисы)   групповая разработка, багтрекинг, GIT;   Вы владеете хорошими знаниями в проектировании и разработке ПО;   Приветствуется знание технологий, используемые в наших проектах и позволит Вам участвовать в других проектах: C#, ASP.NET MVC, EntityFamework, WCF, WebAPI, HTML, CSS, Bootstrap, Kendo UI, Javascript, Jquery, AJAX,XML, JSON, REST,PostgeSQL, SQL.   Обязанности:   Разработка программного обеспечения в соответствии с планом проекта (анализ задачи, поиск и выбор оптимального решения поставленной задачи, проработка ТЗ, программирование, документирование, тестирование).   Условия работы: Взамен мы готовы предложить:   Стабильную и развивающуюся компанию;   Работу в дружной команде профессионалов;   Карьерный рост для самых активных и амбициозных;   Обучение, наставничество, тренинги;   Полная занятость, трудоустройство согласно ТК РФ;   Просторный и светлый офис, корпоративная сотовая связь;   Достойная оплата по результатам работы, стабильно выплачиваем заработную плату, 2 раза в месяц;   Дополнительные премии за активную работу и участие в проектах компании;   Помощь и поддержку коллектива;   Если Вы привыкли убегать от трудностей и перекладывать ответственность за свою жизнь и работу на других, мы не сможем работать с Вами!  ";;Опыт разработки на Delphi не менее 3 лет. Аккуратный код, комментарии, документация, технические задания. Хорошие знания любой из СУБД MS...;Разработка программного обеспечения в соответствии с планом проекта (анализ задачи, поиск и выбор оптимального решения поставленной задачи, проработка ТЗ, программирование...;"Разработка ПО; Веб-программирование; Java; C#; .NET Framework; PostgreSQL; ASP.NET; Разработка технических заданий; Постановка задач разработчикам; руководство командой разработчиков; SQL; HTML; MySQL; JavaScript; MS SQL Server; Git; MVC; MS Visual Studio; ООП; Delphi; Bootstrap; Управление проектами; Тестирование; Тестирование пользовательского интерфейса; Функциональное тестирование; FirebirdSQL; FastReport; fastscript; Дельфи; Embarcadero Delphi";423;0.0;Delphi;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0
7;3;Разработчик VBA, SQL, Delphi (Контур.ЖКХ);2.0;3.0;СКБ Контур;2019-11-30T19:50:43+0300;Мы ищем коллегу в продукт для автоматизации учета муниципальной сферы — Контур.ЖКХ. У продукта есть собственные команды разработки, внедрения и технической поддержки. В работе используются: платформа «Актив» собственной разработки, ядро которой исполнено на Delphi и VBA, СУБД MS SQL Server. Вы сможете:  Получить опыт работы над «взрослым» продуктом с накопленным многолетним опытом и крупными заказчиками Поучаствовать в реализации больших и сложных проектов уровня города в социально важной сфере ЖКХ Оперативно видеть результат своей работы у реальных заказчиков Предлагать системные задачи для оптимизации работы разработчика и приложения Прокачиваться в оптимизации кода и работе с большими объемами данных  Наши ожидания от кандидата:  Умение работать в команде Готовность быстро освоить наш стек, способность развивать его Приветствуется высшее образование  Условия:  Белая зарплата всегда вовремя Дополнительное медицинское страхование Компенсация или рассрочка оплаты занятий спортом Уют в офисах и частичная оплата питания  Кроме этого:  Поездки на IT-конференции, митапы, учебные курсы за счет компании, в том числе спикером Внутренние профессиональные сообщества, летучки и обмен опытом между командами Техника с учетом ваших пожеланий Гибкий график работы Тренажерные залы, велопарковка, душ Корпоративные мероприятия, командные выезды Уровень заработной платы, который зависит от ваших технических знаний и навыков   ;Оперативно видеть результат своей работы у реальных заказчиков. Умение работать в команде. Готовность быстро освоить наш стек, способность развивать его. ;Предлагать системные задачи для оптимизации работы <highlighttext>разработчика</highlighttext> и приложения. Прокачиваться в оптимизации кода и работе с большими объемами данных. ;"SQL; Delphi; MS SQL Server; MS SQL; VBA";  Белая зарплата всегда вовремя Дополнительное медицинское страхование Компенсация или рассрочка оплаты занятий спортом Уют в офисах и частичная оплата питания  Кроме этого:  Поездки на IT-конференции, митапы, учебные курсы за счет компании, в том числе спикером Внутренние профессиональные сообщества, летучки и обмен опытом между командами Техника с учетом ваших пожеланий Гибкий график работы Тренажерные залы, велопарковка, душ Корпоративные мероприятия, командные выезды Уровень заработной платы, который зависит от ваших технических знаний и навыков   ;703;0.3793103448275862;Delphi;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0
8;9;Разработчик VBA, SQL, Delphi (Бухгалтерия Актив);2.0;3.0;СКБ Контур;2019-11-30T19:50:43+0300;Ищем разработчика в проект автоматизации бухгалтерского учета Контур.Бухгалтерия Актив. Проект занимается созданием программных продуктов по бухгалтерскому, налоговому, валютному, складскому учету в коммерческих организациях и банках. Текущий стек: собственная платформа, реализованная на Delphi, приложения на VBA и Т-SQL.   Вы сможете:  Получить опыт разработки сложных приложений Освоить приемы работы с системой, накопившей многолетний опыт эксплуатации Научиться работать в команде с разными ролями и гибкой методологией разработки Решать продуктовые, системные и исследовательские задачи Прокачиваться в анализе кода, оптимизации решений, code-review  Наши ожидания от кандидата:  Готовность быстро осваивать необходимый стек технологий, способность и желание применять полученные знания  Инициатива и ответственность   Умение работать в команде   Мы предлагаем  Поездки на IT-конференции, митапы, учебные курсы за счет компании, в том числе спикером Внутренние профессиональные сообщества, летучки и обмен опытом между командами Технику с учетом ваших пожеланий Гибкий график работы Расширенный соцпакет: добровольное медицинское страхование, компенсацию стоимости обедов, подарки детям на праздники Тренажерные залы, велопарковку, душ Корпоративные мероприятия, командные выезды Уровень заработной платы, который зависит от ваших технических знаний и навыков ;Готовность быстро осваивать необходимый стек технологий, способность и желание применять полученные знания. Инициатива и ответственность. Умение работать в команде.;Получить опыт разработки сложных приложений. Освоить приемы работы с системой, накопившей многолетний опыт эксплуатации. Научиться работать в команде с разными...;"Delphi; SQL; Transact-SQL";;709;0.3793103448275862;Delphi;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0
9;66;Программист Delphi/SQL;0.0;3.0;Мэйджор;2019-11-20T10:58:01+0300;  Программист Delphi/SQL УДАЛЕННО Должностные обязанности: · Разработка, сопровождение и поддержка Delphi приложений (внутренняя ERP система. 3500 онлайн пользователей. Тысячи таблиц и форм) · Составление и поддержка технической документации в актуальном состоянии Требования к кандидату: · Опыт работы и уверенное знание Delphi (мы используем ХЕ10), в особенности при разработке клиент-серверных приложений (ADO), понимание принципов ООП в программировании · Знание MS SQL Server (T-SQL, опыт написания хранимых процедур, UDF, основные принципы работы реляционных СУБД) · Умение разбираться в чужом коде · Опыт документирования проектов · Желательно знание FastReport, Developer Express Условия работы: · Удаленная работа со своего компьютера · Собственная академия, прохождение курсов, для быстрого ввода программиста в дело · Собственная база знаний · Собственная виртуальная машина для удаленной разработки · Крупная компания. ВСЕГДА ЧЕТКАЯ И ПОЛНАЯ ВЫПЛАТА ЗАРАБОТНОЙ ПЛАТЫ ЗП сдельная. Зависит от объема выполненных задач;...принципы работы реляционных СУБД). Умение разбираться в чужом коде. Опыт документирования проектов. Желательно знание FastReport, <highlighttext>Developer</highlighttext> Express. Собственная база знаний.;Разработка, сопровождение и поддержка Delphi приложений (внутренняя ERP система. 3500 онлайн пользователей. Тысячи таблиц и форм). Составление и поддержка технической...;"SQL; SVN; MS SQL Server; Transact-SQL; Delphi; Borland Delphi; Embarcadero Delphi";;866;0.7586206896551724;Delphi;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0
