;Index;name;min_salary;max_salary;company;published_at;description;requirement;responsibility;key_skills;conditions;id;days;group;city_Екатеринбург;city_Новосибирск;city_Санкт-Петербург;min_experience_0;min_experience_1;min_experience_3;min_experience_6;schedule_Гибкий график;schedule_Полный день;schedule_Сменный график;schedule_Удаленная работа;employment_Полная занятость;employment_Проектная работа;employment_Стажировка;employment_Частичная занятость; Git;Системы потоковой обработки данных. С сервис-ориентированной архитектурой. И конкурентной обработкой.;Разработка высоконагруженных сервисов. Разработка новых сервисов и оптимизация существующих компонентов.;Участие в разработке архитектуры решения и структуры БД. Разработка сервисов на Go. Участие в развёртывании приложений (Kubernetes\Docker). ;Разработка программного обеспечения.;Python; Linux;PostgreSQL; Английский язык; Мобильность; PHP; Docker; Golang; React; vuejs;golang;Писать работающий, качественный, понятный и тестируемый код (у нас нет легаси). Разрабатывать и поддерживать бекенд на Go. Развивать инфраструктуру. ;Golang; REST; Databases;Другие навыки
0;62;Golang developer;4.0;6.0;B2Broker;2019-12-10T15:01:47+0300;"Международная компания B2Broker — это финтех, разработчик и провайдер технологий для брокерских компаний, банков и инвестиционных фондов. Мы не занимаемся брокерской деятельностью — но предлагаем законченные решения для других компаний. Над чем предстоит работать:   Системы потоковой обработки данных;   С сервис-ориентированной архитектурой;   И конкурентной обработкой.   Наш идеальный соискатель:  Технически грамотен; Обладает аналитическими навыками; Знает структуры хранения данных и алгоритмы работы с ними; Имеет образование в области прикладной математики или информационных систем; Имеет опыт коммерческой разработки на GoLang; Обладает отличным опытом в применении go-рутин, каналов, мьютексов и wait групп; Имеет опыт разработки с применением концепций: конкуртености, lock-free структур и распределённых систем; Владеет опытом написания Unit и интеграционных тестов (Testing); Имеет опыт работы с различными протоколами обмена информацией; Знает SQL и умеет оптимизировать запросы.  Технологии:  GoLang; Postgres / и др. БД; HTTP(S) / UDP / WebSocket / gRPC; Protobuf / JSON / XML; Docker.  Мы предлагаем:  ЗП без задержек; оформление по ТК РФ; ДМС со стоматологией после испытательного срока; Частичная компенсация занятий английского языка с частным преподавателем; Неограниченный профессиональный рост и возможность работать в развивающейся международной компании; Ресурсы на реализацию идей; Работу по гибкому графику в уютном офисе. ";"  ЗП без задержек; оформление по ТК РФ; ДМС со стоматологией после испытательного срока; Частичная компенсация занятий английского языка с частным преподавателем; Неограниченный профессиональный рост и возможность работать в развивающейся международной компании; Ресурсы на реализацию идей; Работу по гибкому графику в уютном офисе. ";Технически грамотен. Обладает аналитическими навыками. Знает структуры хранения данных и алгоритмы работы с ними. Имеет образование в области прикладной математики...;Системы потоковой обработки данных. С сервис-ориентированной архитектурой. И конкурентной обработкой.;Golang;262;0.06896551724137931;Go;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;12;Go (golang) разработчик;4.0;5.0;Spectrum;2019-12-12T09:43:11+0300;"Spectrum – это компания, которая объединяет 4 федеральных сервиса по проверке: автомобилей (https://avtocod.ru), физических лиц (https://checkperson.ru), контрагентов (https://xfirm.ru) и объектов недвижимости (https://egrnreestr.ru). Нашими клиентами являются Яндекс, Mail group, АльфаСтрахование, Газпромнефть, ВСК, Кардиф, Согласие и многие другие. В нашей команде уже более 100 человек, и мы будем рады единомышленникам, которые готовы к нам присоединиться, принять участие в реализации highload-проектов и принести пользу миллионам пользователей :) Задачи, которые надо будет решать:  Разработка высоконагруженных сервисов; Разработка новых сервисов и оптимизация существующих компонентов;  Мы используем:  Docker/Kubernetes; PostgreSQL, Redis, RabbitMQ; Grafana, Prometheus; TDD, Scrum; Микросервисную архитектуру.  Будет очень круто, если у тебя есть:  Отличное знание Go и опыт работы с ним (при этом готовы рассмотреть и тех, кто только хочет перейти на Go и начал с ним знакомиться) Опыт использования реляционных и NoSQL-хранилищ, а также очередей сообщений; Понимание принципов KISS, DRY и SOLID; Готовность писать тестируемый код и юнит-тесты к нему.  Твоим преимуществом будет:  Опыт построения высоконагруженных систем; Понимание принципов работы распределенных приложений и микросервисной архитектуры; Опыт работы с Docker/Kubernetes.  Со своей стороны предлагаем:  Официальное трудоустройство, белую заработную плату; Офис в центре города, гибкое начало рабочего дня; Пересмотр заработной платы по мере твоего роста как специалиста; Занятия английским языком за наш счёт; Оплату посещения конференций и профильных курсов; Современное железо и любые необходимые сервисы; Работу по agile-принципам; Возможность приносить пользу миллионам пользователей, реализуя решения, основанные на данных; Опытные и отзывчивые коллеги, готовые оказать помощь; Unlimited coffee with cookies.           ";;Отличное знание Go и опыт работы с ним (при этом готовы рассмотреть и тех, кто только хочет перейти на Go...;Разработка высоконагруженных сервисов. Разработка новых сервисов и оптимизация существующих компонентов.;Golang;412;0.0;Go;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;12;Go разработчик;4.0;5.0;Тинькофф;2019-12-10T08:05:10+0300;"Мы в Tinkoff.ru занимаемся сервисами распознавания и синтеза речи. Наши модели лежат в основе голосового ассистента “Олега” и голосовых роботов, которые оптимизируют работу нашего колл-центра. Уже сегодня через нас распознаётся около миллиона звонков в сутки. Перед нами стоит амбициозная задача вывода нашего продукта на внешний рынок.Вместе продумаем глобальную архитектуру решения, определим как пользователи будут авторизоваться, оплачивать счета и многое другое. Для задач внешней платформы мы ищем разработчика желающего писать на Go, писать тесты и релизить полезные фичи. Обязанности:  Участие в разработке архитектуры решения и структуры БД; Разработка сервисов на Go; Участие в развёртывании приложений (Kubernetes\Docker); Консультирование команды поддержки; Написание unit тестов, проработка тестовых сценариев с командой тестирования; Код-ревью;  Требования:  Реальный опыт разработки приложений на Go; Опыт решения задач интеграции с другими системами; Опыт создания высоконагруженных Rest\gRPC сервисов в среде Kubernetes; Опыт использования CI\CD решений; Опыт работы с реляционными СУБД;  Условия:  Комфортабельный офис в Технопарке Сколково; Гибкий рабочий график с возможностью начала рабочего дня на выбор с 8:00 до 11:00; Рабочее место на выбор (Mac/Win/Linux, Notebook/PC); Ежегодная премия по итогам работы; Ежегодный пересмотр заработной платы по результатам работы; ДМС; Оплата парковки; Компенсация обедов 300р/день; Оплата конференций, курсов; Компенсация спорта 50%; Специальные условия на продукты Тинькофф; После реализации пилотных проектов команда будет расширяться, а у вас будет возможность возглавить команду разработчиков. ";"  Комфортабельный офис в Технопарке Сколково; Гибкий рабочий график с возможностью начала рабочего дня на выбор с 8:00 до 11:00; Рабочее место на выбор (Mac/Win/Linux, Notebook/PC); Ежегодная премия по итогам работы; Ежегодный пересмотр заработной платы по результатам работы; ДМС; Оплата парковки; Компенсация обедов 300р/день; Оплата конференций, курсов; Компенсация спорта 50%; Специальные условия на продукты Тинькофф; После реализации пилотных проектов команда будет расширяться, а у вас будет возможность возглавить команду разработчиков. ";Реальный опыт разработки приложений на Go. Опыт решения задач интеграции с другими системами. Опыт создания высоконагруженных Rest\gRPC сервисов в...;Участие в разработке архитектуры решения и структуры БД. Разработка сервисов на Go. Участие в развёртывании приложений (Kubernetes\Docker). ;;512;0.06896551724137931;Go;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;45;Инженер-программист (Golang);4.0;5.0;Сима-ленд;2019-12-09T08:35:43+0300;Разработчик автоматизирует внутренние бизнес-процессы, пишет приложения, построенные с использованием микросервисной архитектуры. Сейчас команда развивает проекты, которые скоро станут высоконагруженными. Целеустремлённые сотрудники, которые привносят новые идеи и технологии в проект, становятся ведущими программистами или руководителями групп. Заработная плата напрямую зависит от знаний и умений, пересматривается раз в несколько месяцев. Компания готова помочь с переездом в Екатеринбург и оплатить жильё на испытательном сроке. Обязанности:   Разработка программного обеспечения.   Требования:  Знание языка программирования Golang. Работа с Postgresql. Умение правильно строить HTTP REST API. Умение тестировать свой код. Опыт работы с Git, Docker (желательно).  Условия:  Переезд (компания готова компенсировать аренду жилья на испытательном сроке). Заработная плата, которая определяется по результатам собеседования и зависит от вашей квалификации. Бесплатная доставка служебным транспортом утром и вечером из всех районов Екатеринбурга и ближайших городов в радиусе 100 км. Гибкое начало рабочего дня (выход с 8:00 до 10:00). Участие в крупных конференциях, в т. ч. международных. Бесплатный спортзал на территории компании, штатный тренер. Яркая корпоративная жизнь: теннис, футбол, настольные игры. ;  Переезд (компания готова компенсировать аренду жилья на испытательном сроке). Заработная плата, которая определяется по результатам собеседования и зависит от вашей квалификации. Бесплатная доставка служебным транспортом утром и вечером из всех районов Екатеринбурга и ближайших городов в радиусе 100 км. Гибкое начало рабочего дня (выход с 8:00 до 10:00). Участие в крупных конференциях, в т. ч. международных. Бесплатный спортзал на территории компании, штатный тренер. Яркая корпоративная жизнь: теннис, футбол, настольные игры. ;Знание языка программирования Golang. Работа с Postgresql. Умение правильно строить HTTP REST API. Умение тестировать свой код. Опыт работы с...;Разработка программного обеспечения.;;545;0.10344827586206896;Go;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;21;Разработчик на Golang (Go);4.0;5.0;СкайДНС;2019-12-06T10:23:08+0300;"Компания SkyDNS приглашает на работу специалиста для разработки сетевых решений на Golang (Go).   SkyDNS - ведущий российский разработчик и поставщик систем контент-фильтрации для операторов связи, органов власти, корпоративных клиентов и учебных заведений. Продукты и услуги компании успешно продаются на территории России, стран СНГ, США, Великобритании и других стран.   Обязанности:  Разработка для Linux.    Требования:  Практический опыт разработки сетевого ПО; Опыт разработки на языке Golang или Python от 1 года; Свободное владение Linux; Опыт работы с Git.    Плюсом будет:  Опыт промышленной разработки от 1 года; Наличие собственных проектов на GitHub; Понимание принципов работы сетевых протоколов.    Условия:  Полная занятость, адекватный рабочий график; Удобный офис в Пионерском районе (на Кулибина недалеко от ТЦ Современник); Возможность посещать мероприятия для профессионального развития; Возможность обучения английскому языку; Наличие обширной и пополняемой профессиональной библиотеки. ";Практический опыт разработки сетевого ПО. Опыт разработки на языке Golang или Python от 1 года. Свободное владение Linux. ;Разработка для Linux.;"Python; Git; Linux";"  Полная занятость, адекватный рабочий график; Удобный офис в Пионерском районе (на Кулибина недалеко от ТЦ Современник); Возможность посещать мероприятия для профессионального развития; Возможность обучения английскому языку; Наличие обширной и пополняемой профессиональной библиотеки. ";621;0.20689655172413793;Go;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;99;Golang / Go Developer;0.0;0.0;Совкомбанк;2019-12-12T09:08:17+0300;"Обязанности:  Разработка проектов банка, Участие в разработке архитектурных решений приложений. Решение интересных задач  Требования:    Опыт работы от 1 года на Golang Опыт работы с gRPC Опыт работы с PostgreSQL Опыт работы с Docker Знание принципов/опыт построения высоконагруженных систем и проектирование API для них Хорошее знание сетевых протоколов и транспорта HTTP Понимание микросервисной архитектуры Написание юнит и блочных тестов  Будет плюсом:  Golang - Cobra, Viper, go kit. Знание PHP и смежных фреймворков Знание фронтендт vuejs/react Понимание ci/cd Опыт работы с nix системами Использование Swagger в разработке  Условия:  График работы 5/2; Оформление по ТК РФ, стабильная работа в крупном федеральном банке; Полностью белая заработная плата: Итоговый уровень дохода согласовывается по результату собеседования Корпоративный транспорт с Речного вокзала и пл. Маркса и обратно Расширенный соц. пакет (ДМС, фитнес, английский язык, обучение, ипотечная программа, доступный автомобиль ). Готовность банка к инновациям снизу и поощрение за рациональные предложения. ";Опыт работы от 1 года на Golang. Опыт работы с gRPC. Опыт работы с PostgreSQL. Опыт работы с Docker. ;Разработка проектов банка. Участие в разработке архитектурных решений приложений. Решение интересных задач.;"PostgreSQL; Английский язык; Мобильность; PHP; Docker; Golang; React; vuejs";"  График работы 5/2; Оформление по ТК РФ, стабильная работа в крупном федеральном банке; Полностью белая заработная плата: Итоговый уровень дохода согласовывается по результату собеседования Корпоративный транспорт с Речного вокзала и пл. Маркса и обратно Расширенный соц. пакет (ДМС, фитнес, английский язык, обучение, ипотечная программа, доступный автомобиль ). Готовность банка к инновациям снизу и поощрение за рациональные предложения. ";899;0.0;Go;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
6;29;Middle Go-разработчик;0.0;0.0;Тинькофф;2019-12-12T06:57:28+0300;"Tinkoff.ru – одна из самых технологичных IT-компаний в России. Наша экосистема объединяет финансовые услуги, мобильную связь, страхование, travel и развлечения. Мы по-новому смотрим на привычные вещи, задаем тренды и используем всю мощь технологий, чтобы сделать то, что другим кажется невыполнимым. Сейчас мы ищем Go-разработчика в команду проекта VoiceKit. Обязанности:  Участие в разработке архитектуры решения и структуры БД; Разработка сервисов на Go; Участие в развёртывании приложений (Kubernetes\Docker); Консультирование команды поддержки; Написание unit тестов, проработка тестовых сценариев с командой тестирования; Код-ревью.  Требования:  Реальный опыт разработки приложений на Go; Опыт решения задач интеграции с другими системами; Опыт использования CI\CD решений; Опыт работы с реляционными СУБД; Убежденность в важности тестов, code-review и командной работы  Условия:   Добровольное медицинское страхование (ДМС), включая стоматологию (с первого дня работы);   Белая заработная плата;   Компенсация на выбор: обедов, такси, парковочного места;   Компенсация 50% на спорт;   Софинансирование обучения (оплата конференций, курсов).  Работа в офисе по вашему выбору: в городе на Советской, либо Академгородке, Николаева ";Реальный опыт разработки приложений на Go. Опыт решения задач интеграции с другими системами. Опыт использования CI\CD решений. ;Участие в разработке архитектуры решения и структуры БД. Разработка сервисов на Go. Участие в развёртывании приложений (Kubernetes\Docker). ;golang;"   Добровольное медицинское страхование (ДМС), включая стоматологию (с первого дня работы);   Белая заработная плата;   Компенсация на выбор: обедов, такси, парковочного места;   Компенсация 50% на спорт;   Софинансирование обучения (оплата конференций, курсов).  Работа в офисе по вашему выбору: в городе на Советской, либо Академгородке, Николаева ";929;0.0;Go;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
7;40;Middle Go Developer (GKT Team);0.0;0.0;SEMrush;2019-12-11T11:26:23+0300;"SEMrush - это уникальный сервис для профессионалов в области интернет-маркетинга, многопрофильная маркетинг-платформа, состоящая из множества инструментов, помогающая маркетологам всего мира оценить положение своего продукта в Сети, отследить активность конкурентов, эффективность онлайн-рекламы и многое другое. Над всем этим сейчас работают уже больше 30 команд разработки! Главный центр разработки находится в Санкт-Петербурге, а еще есть представительства в США, Чехии и на Кипре. Да, да. Растем как на дрожжах и даже не думаем останавливаться. Возможно, когда ты к нам придешь - их станет еще больше. И да, у нас есть много интересных технических задач. У нас - это в команде GKT. Мы занимаемся аналитикой поисковых запросов. В команде РО, 1 Data Scientist, 1 QA и 2 бекендера, но задач становится все больше, и мы ищем себе нового коллегу - Go Developerа. Мы ждем от тебя:   понимания, что стабильность и удобство продукта - это важно;   умения аргументировать свою позицию и техническое решение;   умения задавать правильные вопросы и правильно планировать свою работу;   желания пробовать новое и знаний для встраивания этого в уже работающие сервисы.   Технологии, которые мы используем:   Go   Python   JS   C++   Shell Scripting (Linux)   PostgreSQL, ClickHouse   Elastic Stack   Docker, Ansible, Gitlab-CI   Чем придется заниматься:   писать работающий, качественный, понятный и тестируемый код (у нас нет легаси);   разрабатывать и поддерживать бекенд на Go;   развивать инфраструктуру;   поддерживать скрипты краулинга на JS;   собирать и запускать все вышеперечисленное (GitLab CI, Ansible, Docker, Bash);   хранить данные в SQL DB (PostgreSQL, ClickHouse);   хранить и визуализировать логи и метрики в ELK Stack.   Мы предлагаем:   Начало рабочего дня подойдет как жаворонку, так и сове, т.к. наш день начинается с 9:00 до 12:00   Мы совсем рядом со ст.м. Московские ворота - 10 минут прогулочным шагом   Мы готовы рассказать, показать и разделить с тобой Agile-подход в работе (есть коучи и HR`ы, которые с удовольствием всему научат)   Для твоей прокачки и развития твоей команды мы всегда рады обсудить тренинги/онлайн курсы/конференции/книжки!   Занятия по английскому языку проходят прямо в офисе   Горячо поддерживаем твои спортивные увлечения и готовы компенсировать до 50% от стоимости абонемента (зал/танцы/скалодромы и т.п. на твой выбор)   Крутые вечеринки и корпоративы!   Не стесняйся, пиши, звони! До встречи!";   Начало рабочего дня подойдет как жаворонку, так и сове, т.к. наш день начинается с 9:00 до 12:00   Мы совсем рядом со ст.м. Московские ворота - 10 минут прогулочным шагом   Мы готовы рассказать, показать и разделить с тобой Agile-подход в работе (есть коучи и HR`ы, которые с удовольствием всему научат)   Для твоей прокачки и развития твоей команды мы всегда рады обсудить тренинги/онлайн курсы/конференции/книжки!   Занятия по английскому языку проходят прямо в офисе   Горячо поддерживаем твои спортивные увлечения и готовы компенсировать до 50% от стоимости абонемента (зал/танцы/скалодромы и т.п. на твой выбор)   Крутые вечеринки и корпоративы!   Не стесняйся, пиши, звони! До встречи!;Понимания, что стабильность и удобство продукта - это важно. Умения аргументировать свою позицию и техническое решение. Умения задавать правильные вопросы и...;Писать работающий, качественный, понятный и тестируемый код (у нас нет легаси). Разрабатывать и поддерживать бекенд на Go. Развивать инфраструктуру. ;"Python; PostgreSQL; Linux; Bash; Go; Golang; ClickHouse";1040;0.034482758620689655;Go;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
8;7;Golang Developer/iGaming Operator;0.0;0.0;DataArt;2019-12-09T21:03:25+0300;Golang Developer, iGaming Operator Наш клиент — один из мировых лидеров рынка онлайн-гемблинга. Его платформой для азартных игр и спортивных ставок пользуются игроки из более чем 100 стран. При этом рынок онлайн-казино сейчас переживает консолидацию. В связи с этим растет спрос на внедрение современных решений, модернизацию платформ, растет уровень конкуренции и запросы пользователей. Специалисты DataArt помогают клиенту разрабатывать новую платформу (на Golang).   Требования  Опыт разработки на Go. Навыки работы с MySQL и NoSQL. Отличные знания особенностей микросервисной архитектуры. Отличное понимание HTTP и RESTful APIs.  Будет плюсом  Опыт работы с платформой Node.js, отличные знания JavaScript. Опыт работы с Git. Разговорный английский.  DATAART ПРЕДЛАГАЕТ:  Профессиональное развитие:- Опытные коллеги готовы делиться знаниями.- Возможность менять проекты, стек, пробовать себя в разных ролях.- Более 150 внутренних курсов повышения квалификации.- Изучение и практика английского: курсы, общение с коллегами и клиентами из разных стран.- Поддержка докладчиков, выступающих на конференциях и встречах технологических сообществ. Возможность сосредоточиться на работе: отсутствие бюрократии и микроменеджмента, удобные корпоративные сервисы. Дружеская атмосфера, забота о комфорте специалистов. Гибкий график (есть присутственные часы), возможность работать удаленно по согласованию с коллегами. Возможность поработать в любом нашем центре разработки. ;Опыт разработки на Go. Навыки работы с MySQL и NoSQL. Отличные знания особенностей микросервисной архитектуры. Отличное понимание HTTP и RESTful...;Изучение и практика английского: курсы, общение с коллегами и клиентами из разных стран. - Поддержка докладчиков, выступающих на конференциях и встречах...;" Git;Системы потоковой обработки данных. С сервис-ориентированной архитектурой. И конкурентной обработкой.;Разработка высоконагруженных сервисов. Разработка новых сервисов и оптимизация существующих компонентов.;Участие в разработке архитектуры решения и структуры БД. Разработка сервисов на Go. Участие в развёртывании приложений (Kubernetes\Docker). ;Разработка программного обеспечения.";;1107;0.06896551724137931;Go;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;82;Blockchain developer (Go);0.0;0.0;Integral;2019-12-09T10:15:02+0300;"Наша компания является одной из первых в России, основным направлением которой является разработка решений на основе блокчейн-технологий: - разработка программной архитектуры децентрализованных приложений/платформ/сервисов; - создание новых и уникальных блокчейн-платформ (в том числе участие в open-source проектах); - разработка полного цикла децентрализованных решений, включая сопутствующие программные продукты, которые входят в экосистему децентрализованного решения (Frontend - мобильные и веб-приложения, Backend - middleware, многоуровневые сервисы, модули интеграции, cross-chain сервисы, etc).Требования к кандидату:   Опыт разработки на GoLang от одного года; Опыт создания и настройки распределенных сервисов; Хорошее знание сетевых протоколов; Знание и опыт работы с git и git flow; Опыт работы с unix системами; Опыт работы с gRPC; Опыт работы с реляционными и KV базами данных; Уверенное владение docker/docker-compose.  Будет плюсом:   Наличие github аккаунта с примерами разработок; Опыт работы с блокчейн-технологиями; Работа с серверами очередей; Знание и опыт работы на любом другого языке программирования; Опыт самостоятельного ведения проекта; Опыт оптимизации высоконагруженных проектов; Опыт проектирования и разработки REST API.  Мы предлагаем:   Удаленная работа; Конкурентная оплата труда; Участие в сложных и интересных проектах; Работа в кругу профессионалов; Белая зарплата. ";Опыт разработки на GoLang от одного года. Опыт создания и настройки распределенных сервисов. Хорошее знание сетевых протоколов. Знание и опыт...;разработка программной архитектуры децентрализованных приложений/платформ/сервисов. - создание новых и уникальных блокчейн-платформ (в том числе участие в open-source...;"Golang; REST; Databases; Network protocols; Microservices; Blockchain; Git";"   Удаленная работа; Конкурентная оплата труда; Участие в сложных и интересных проектах; Работа в кругу профессионалов; Белая зарплата. ";1182;0.10344827586206896;Go;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
